misalignment_index,cam_roll_deg,cam_pitch_deg,cam_yaw_deg,yaw_index,car_roll_deg,car_pitch_deg,car_yaw_deg,weighted_rmse
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,65,0.0,-0.0,145.0,0.0007835847323630925
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,66,0.0,-0.0,149.99999999999997,0.0007802861059516279
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,67,0.0,-0.0,154.99999999999997,0.0007775472842401092
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,68,0.0,-0.0,159.99999999999997,0.0007754981472733764
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,69,0.0,-0.0,165.00000000000003,0.0007742399955482954
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,70,0.0,-0.0,170.0,0.0007738367436136672
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,71,0.0,-0.0,175.0,0.0007743097820331914
2,0.0,-0.5,0.0,0,0.0,-0.0,-180.0,0.0007358474640470872
2,0.0,-0.5,0.0,1,0.0,-0.0,-175.0,0.0007334477706030938
2,0.0,-0.5,0.0,2,0.0,-0.0,-170.0,0.0007317163657865356
2,0.0,-0.5,0.0,3,0.0,-0.0,-165.0,0.000730712802303693
